,id,start,end,text
0,/Volumes/Elements/Dev/TCC/data/links/Y7-t7QTgQws.en.vtt,00:00:00.390,00:00:06.150," 
[Music]  so  [Music]  [Music]  so  uh  [Music]  [Music]  hey  [Music]  [Music]  you"
1,/Volumes/Elements/Dev/TCC/data/links/Y7-t7QTgQws.en.vtt,00:00:06.150,00:00:06.160," 
 "
2,/Volumes/Elements/Dev/TCC/data/links/Y7-t7QTgQws.en.vtt,00:00:06.160,00:00:07.570, 
3,/Volumes/Elements/Dev/TCC/data/links/Y7-t7QTgQws.en.vtt,00:00:07.570,00:00:07.580," 
 "
4,/Volumes/Elements/Dev/TCC/data/links/Y7-t7QTgQws.en.vtt,00:00:07.580,00:00:27.190, 
5,/Volumes/Elements/Dev/TCC/data/links/Y7-t7QTgQws.en.vtt,00:00:27.190,00:00:27.200," 
 "
6,/Volumes/Elements/Dev/TCC/data/links/Y7-t7QTgQws.en.vtt,00:00:27.200,00:00:35.110, 
7,/Volumes/Elements/Dev/TCC/data/links/Y7-t7QTgQws.en.vtt,00:00:35.110,00:00:35.120," 
 "
8,/Volumes/Elements/Dev/TCC/data/links/Y7-t7QTgQws.en.vtt,00:00:35.120,00:01:03.349, 
9,/Volumes/Elements/Dev/TCC/data/links/Y7-t7QTgQws.en.vtt,00:01:03.349,00:01:03.359," 
 "
10,/Volumes/Elements/Dev/TCC/data/links/Y7-t7QTgQws.en.vtt,00:01:03.359,00:01:05.590, 
11,/Volumes/Elements/Dev/TCC/data/links/Y7-t7QTgQws.en.vtt,00:01:05.590,00:01:05.600," 
 "
12,/Volumes/Elements/Dev/TCC/data/links/Y7-t7QTgQws.en.vtt,00:01:05.600,00:01:28.870, 
13,/Volumes/Elements/Dev/TCC/data/links/Y7-t7QTgQws.en.vtt,00:01:28.870,00:01:28.880," 
 "
14,/Volumes/Elements/Dev/TCC/data/links/Y7-t7QTgQws.en.vtt,00:01:28.880,00:01:30.469, 
15,/Volumes/Elements/Dev/TCC/data/links/Y7-t7QTgQws.en.vtt,00:01:30.469,00:01:30.479," 
 "
16,/Volumes/Elements/Dev/TCC/data/links/Y7-t7QTgQws.en.vtt,00:01:30.479,00:01:32.770, 
17,/Volumes/Elements/Dev/TCC/data/links/Y7-t7QTgQws.en.vtt,00:01:32.770,00:01:32.780," 
 "
18,/Volumes/Elements/Dev/TCC/data/links/Y7-t7QTgQws.en.vtt,00:01:32.780,00:01:45.320, 
19,/Volumes/Elements/Dev/TCC/data/links/Y7-t7QTgQws.en.vtt,00:01:45.320,00:01:45.330," 
 "
20,/Volumes/Elements/Dev/TCC/data/links/Y7-t7QTgQws.en.vtt,00:01:45.330,00:01:59.830, 
21,/Volumes/Elements/Dev/TCC/data/links/Y7-t7QTgQws.en.vtt,00:01:59.830,00:01:59.840," 
 "
22,/Volumes/Elements/Dev/TCC/data/links/Y7-t7QTgQws.en.vtt,00:01:59.840,00:02:01.920, 
23,/Volumes/Elements/Dev/TCC/data/links/xoiYRIs3Ayw.en.vtt,00:00:03.520,00:00:12.350," 
[Music]  [Applause]  [Music]  silently  i am somewhere  [Music]  [Music]  oh  [Music]  it's over  [Music]  [Applause]  [Music]  [Music]  hurry too  [Applause]  to keep  [Music]  [Music]  a fall through i'm locked in  beside you  i'll burn here  to keep you  i'll play your  sad games  [Music]  [Applause]  [Music]  is  my  mistake  [Music]  [Music]  you"
24,/Volumes/Elements/Dev/TCC/data/links/xoiYRIs3Ayw.en.vtt,00:00:12.350,00:00:12.360,"[Music]  [Applause]  [Music]  silently  i am somewhere  [Music]  [Music]  oh  [Music]  it's over  [Music]  [Applause]  [Music]  [Music]  hurry too  [Applause]  to keep  [Music]  [Music]  a fall through i'm locked in  beside you  i'll burn here  to keep you  i'll play your  sad games  [Music]  [Applause]  [Music]  is  my  mistake  [Music]  [Music]  you
 "
25,/Volumes/Elements/Dev/TCC/data/links/xoiYRIs3Ayw.en.vtt,00:00:12.360,00:00:17.530,[Music]  [Applause]  [Music]  silently  i am somewhere  [Music]  [Music]  oh  [Music]  it's over  [Music]  [Applause]  [Music]  [Music]  hurry too  [Applause]  to keep  [Music]  [Music]  a fall through i'm locked in  beside you  i'll burn here  to keep you  i'll play your  sad games  [Music]  [Applause]  [Music]  is  my  mistake  [Music]  [Music]  you
26,/Volumes/Elements/Dev/TCC/data/links/xoiYRIs3Ayw.en.vtt,00:00:17.530,00:00:17.540," 
 "
27,/Volumes/Elements/Dev/TCC/data/links/xoiYRIs3Ayw.en.vtt,00:00:17.540,00:00:25.429, 
28,/Volumes/Elements/Dev/TCC/data/links/xoiYRIs3Ayw.en.vtt,00:00:25.429,00:00:25.439," 
 "
29,/Volumes/Elements/Dev/TCC/data/links/xoiYRIs3Ayw.en.vtt,00:00:25.439,00:00:27.589, 
30,/Volumes/Elements/Dev/TCC/data/links/xoiYRIs3Ayw.en.vtt,00:00:27.589,00:00:31.820," 
 "
31,/Volumes/Elements/Dev/TCC/data/links/xoiYRIs3Ayw.en.vtt,00:00:31.820,00:00:31.830," 
 "
32,/Volumes/Elements/Dev/TCC/data/links/xoiYRIs3Ayw.en.vtt,00:00:31.830,00:00:38.090, 
33,/Volumes/Elements/Dev/TCC/data/links/xoiYRIs3Ayw.en.vtt,00:00:38.090,00:00:38.100," 
 "
34,/Volumes/Elements/Dev/TCC/data/links/xoiYRIs3Ayw.en.vtt,00:00:38.100,00:00:41.030, 
35,/Volumes/Elements/Dev/TCC/data/links/xoiYRIs3Ayw.en.vtt,00:00:41.030,00:00:41.040," 
 "
36,/Volumes/Elements/Dev/TCC/data/links/xoiYRIs3Ayw.en.vtt,00:00:41.040,00:00:42.570, 
37,/Volumes/Elements/Dev/TCC/data/links/xoiYRIs3Ayw.en.vtt,00:00:42.570,00:00:42.580," 
 "
38,/Volumes/Elements/Dev/TCC/data/links/xoiYRIs3Ayw.en.vtt,00:00:42.580,00:00:49.190, 
39,/Volumes/Elements/Dev/TCC/data/links/xoiYRIs3Ayw.en.vtt,00:00:49.190,00:00:58.390," 
 "
40,/Volumes/Elements/Dev/TCC/data/links/xoiYRIs3Ayw.en.vtt,00:00:58.390,00:00:58.400," 
 "
41,/Volumes/Elements/Dev/TCC/data/links/xoiYRIs3Ayw.en.vtt,00:00:58.400,00:01:15.240, 
42,/Volumes/Elements/Dev/TCC/data/links/xoiYRIs3Ayw.en.vtt,00:01:15.240,00:01:15.250," 
 "
43,/Volumes/Elements/Dev/TCC/data/links/xoiYRIs3Ayw.en.vtt,00:01:15.250,00:01:15.610, 
44,/Volumes/Elements/Dev/TCC/data/links/xoiYRIs3Ayw.en.vtt,00:01:15.610,00:01:15.620," 
 "
45,/Volumes/Elements/Dev/TCC/data/links/xoiYRIs3Ayw.en.vtt,00:01:15.620,00:01:21.520, 
46,/Volumes/Elements/Dev/TCC/data/links/xoiYRIs3Ayw.en.vtt,00:01:21.520,00:01:21.530," 
 "
