video_id,start,end,text,video_link,path
Mwul17m-tCY,00:00:00.179,00:00:04.190," 
what is that I got bored one day  and I put everything on a bagel  everything  all my hopes and dreams my old report  cards  every breed of dog every last personal  ad on Craigslist  [Music]  sesame  salt  and it collapsed in on itself  because you see when you really put  everything on a bagel  Starbucks  across from the Starbucks tucked  a bagel  [Music]  okay like the scariest thing in the  world would be scream  [Music]",https://www.youtube.com/watch?v=Mwul17m-tCY,/Volumes/Elements/Dev/TCC/data/links/Mwul17m-tCY.en.vtt
Mwul17m-tCY,00:00:04.190,00:00:09.589,"what is that I got bored one day  and I put everything on a bagel  everything  all my hopes and dreams my old report  cards  every breed of dog every last personal  ad on Craigslist  [Music]  sesame  salt  and it collapsed in on itself  because you see when you really put  everything on a bagel  Starbucks  across from the Starbucks tucked  a bagel  [Music]  okay like the scariest thing in the  world would be scream  [Music]
 ",https://www.youtube.com/watch?v=Mwul17m-tCY,/Volumes/Elements/Dev/TCC/data/links/Mwul17m-tCY.en.vtt
Mwul17m-tCY,00:00:09.589,00:00:09.599," 
 ",https://www.youtube.com/watch?v=Mwul17m-tCY,/Volumes/Elements/Dev/TCC/data/links/Mwul17m-tCY.en.vtt
Mwul17m-tCY,00:00:09.599,00:00:11.209, ,https://www.youtube.com/watch?v=Mwul17m-tCY,/Volumes/Elements/Dev/TCC/data/links/Mwul17m-tCY.en.vtt
Mwul17m-tCY,00:00:11.209,00:00:14.330," 
 ",https://www.youtube.com/watch?v=Mwul17m-tCY,/Volumes/Elements/Dev/TCC/data/links/Mwul17m-tCY.en.vtt
Mwul17m-tCY,00:00:14.330,00:00:14.340," 
 ",https://www.youtube.com/watch?v=Mwul17m-tCY,/Volumes/Elements/Dev/TCC/data/links/Mwul17m-tCY.en.vtt
Mwul17m-tCY,00:00:14.340,00:00:15.650, ,https://www.youtube.com/watch?v=Mwul17m-tCY,/Volumes/Elements/Dev/TCC/data/links/Mwul17m-tCY.en.vtt
Mwul17m-tCY,00:00:15.650,00:00:17.750," 
 ",https://www.youtube.com/watch?v=Mwul17m-tCY,/Volumes/Elements/Dev/TCC/data/links/Mwul17m-tCY.en.vtt
Mwul17m-tCY,00:00:17.750,00:00:19.130," 
 ",https://www.youtube.com/watch?v=Mwul17m-tCY,/Volumes/Elements/Dev/TCC/data/links/Mwul17m-tCY.en.vtt
Mwul17m-tCY,00:00:19.130,00:00:19.140," 
 ",https://www.youtube.com/watch?v=Mwul17m-tCY,/Volumes/Elements/Dev/TCC/data/links/Mwul17m-tCY.en.vtt
Mwul17m-tCY,00:00:19.140,00:00:21.170, ,https://www.youtube.com/watch?v=Mwul17m-tCY,/Volumes/Elements/Dev/TCC/data/links/Mwul17m-tCY.en.vtt
Mwul17m-tCY,00:00:21.170,00:00:21.180," 
 ",https://www.youtube.com/watch?v=Mwul17m-tCY,/Volumes/Elements/Dev/TCC/data/links/Mwul17m-tCY.en.vtt
Mwul17m-tCY,00:00:21.180,00:00:24.950, ,https://www.youtube.com/watch?v=Mwul17m-tCY,/Volumes/Elements/Dev/TCC/data/links/Mwul17m-tCY.en.vtt
Mwul17m-tCY,00:00:24.950,00:00:24.960," 
 ",https://www.youtube.com/watch?v=Mwul17m-tCY,/Volumes/Elements/Dev/TCC/data/links/Mwul17m-tCY.en.vtt
Mwul17m-tCY,00:00:24.960,00:00:27.650, ,https://www.youtube.com/watch?v=Mwul17m-tCY,/Volumes/Elements/Dev/TCC/data/links/Mwul17m-tCY.en.vtt
Mwul17m-tCY,00:00:27.650,00:00:31.730," 
 ",https://www.youtube.com/watch?v=Mwul17m-tCY,/Volumes/Elements/Dev/TCC/data/links/Mwul17m-tCY.en.vtt
Mwul17m-tCY,00:00:31.730,00:00:33.530," 
 ",https://www.youtube.com/watch?v=Mwul17m-tCY,/Volumes/Elements/Dev/TCC/data/links/Mwul17m-tCY.en.vtt
Mwul17m-tCY,00:00:33.530,00:00:37.930," 
 ",https://www.youtube.com/watch?v=Mwul17m-tCY,/Volumes/Elements/Dev/TCC/data/links/Mwul17m-tCY.en.vtt
Mwul17m-tCY,00:00:37.930,00:00:37.940," 
 ",https://www.youtube.com/watch?v=Mwul17m-tCY,/Volumes/Elements/Dev/TCC/data/links/Mwul17m-tCY.en.vtt
Mwul17m-tCY,00:00:37.940,00:00:39.770, ,https://www.youtube.com/watch?v=Mwul17m-tCY,/Volumes/Elements/Dev/TCC/data/links/Mwul17m-tCY.en.vtt
Mwul17m-tCY,00:00:39.770,00:00:50.590," 
 ",https://www.youtube.com/watch?v=Mwul17m-tCY,/Volumes/Elements/Dev/TCC/data/links/Mwul17m-tCY.en.vtt
Mwul17m-tCY,00:00:50.590,00:00:55.300," 
 ",https://www.youtube.com/watch?v=Mwul17m-tCY,/Volumes/Elements/Dev/TCC/data/links/Mwul17m-tCY.en.vtt
Mwul17m-tCY,00:00:55.300,00:00:55.310," 
 ",https://www.youtube.com/watch?v=Mwul17m-tCY,/Volumes/Elements/Dev/TCC/data/links/Mwul17m-tCY.en.vtt
Mwul17m-tCY,00:00:55.310,00:00:58.310, ,https://www.youtube.com/watch?v=Mwul17m-tCY,/Volumes/Elements/Dev/TCC/data/links/Mwul17m-tCY.en.vtt
Mwul17m-tCY,00:00:58.310,00:01:02.029," 
 ",https://www.youtube.com/watch?v=Mwul17m-tCY,/Volumes/Elements/Dev/TCC/data/links/Mwul17m-tCY.en.vtt
Mwul17m-tCY,00:01:02.029,00:01:04.259," 
 ",https://www.youtube.com/watch?v=Mwul17m-tCY,/Volumes/Elements/Dev/TCC/data/links/Mwul17m-tCY.en.vtt
Mwul17m-tCY,00:01:04.259,00:01:04.269," 
 ",https://www.youtube.com/watch?v=Mwul17m-tCY,/Volumes/Elements/Dev/TCC/data/links/Mwul17m-tCY.en.vtt
Mwul17m-tCY,00:01:04.269,00:01:12.459, ,https://www.youtube.com/watch?v=Mwul17m-tCY,/Volumes/Elements/Dev/TCC/data/links/Mwul17m-tCY.en.vtt
